name,oeis_id,binomial_or_closed_form,order,status_in_register,citation
almkvist_zagier_second,A125143,(see recurrence_coefficients in refs/recurrences_v1.json),order-3,OK,OEIS A125143 (http://oeis.org/A125143); Almkvist-Zudilin second K3-class sequence
apery_zeta2,A005258,"∑_{k=0}^{n} C(n,k)² · C(n+k,k)",order-2,OK,"OEIS A005258 (http://oeis.org/A005258); Apéry ζ(2) sequence; weight-2 elliptic; proven modularity (Beukers 1983, Beauville's classification of rational elliptic surfaces)"
apery_zeta3,A005259,(see recurrence_coefficients in refs/recurrences_v1.json),order-3,OK,"OEIS A005259 (http://oeis.org/A005259); Apéry zeta(3), Beukers-Peters K3 (1984); weight-3"
avs_sporadic3_s18,NOT FOUND IN SOURCE TEXT,"Picard-Fuchs operator L = theta^3 - 2z(2theta+1)(7theta^2+7theta+3) + 12z^2(4theta+3)(theta+1)(4theta+5), theta = z d/dz; equivalently Q3(z)theta^3+Q2(z)theta^2+Q1(z)theta+Q0(z) with Q3=192z^2-28z+1, Q2=576z^2-42z, Q1=564z^2-26z, Q0=180z^2-6z. Operator hand-re-expanded from the printed theta-form and confirmed to match. NOT the same normalization as OEIS A219692's closed-form combinatorial sum an = Sum_{k=0}^{floor(n/3)} (-1)^k C(n,k) C(2k,k) C(2(n-k),n-k) (C(2n-3k-1,n)+C(2n-3k,n)) — that sum evaluates to a(0)=2 (verified here), whereas this operator's own indicial recursion forces a(1)=6*a(0), which only closes consistently with A-vS's own printed phi(x)=1+6x+54x^2+... (a(0)=1), matching the operator's own printed power series, not the closed-form sum's boundary value. See _meta_note.",order-3,OK,"Almkvist & van Straten arXiv:2103.08651v1 (docs/literature/almkvist_van_straten_2103.08651.txt, lines 1833-1872, hash-pinned per refs/literature_provenance.txt), section ""three sporadic third order operators"" (Sporadic 3); their own words: ""also found by S. Cooper, where they are called s10, s7 and s18"". Operator and phi(x) series read directly from the pinned primary-source text (not from the ESCALATIONS.md paraphrase, and not from the Gorodetsky secondary source used for the prior blocked attempt). Recovers the previously-corrupt gorodetsky_s18 register entry (blocked 2026-07-20). See ESCALATIONS.md E-009 (""Bonus — s18 recovered"")."
az_sporadic_a006077,A006077,(see recurrence_coefficients in refs/recurrences_v1.json),order-2,OK,"OEIS A006077 (http://oeis.org/A006077); Zagier order-2 sporadic (elliptic, weight-2)"
cooper_s10,A005260,"∑_{k=0}^{n} C(n,k)⁴",order-3,OK,OEIS A005260 (http://oeis.org/A005260); Cooper 2012 sporadic sequence s₁₀; Lean4 Structures/CooperS10Recurrence.lean
cooper_s10_partner,DERIVED (no OEIS ID -- see notes),"[order-2 partner operator L2 with cooper_s10 = Sym^2(L2); f = sqrt of the s10 generating function; f is RATIONAL, not integral (denominators are powers of 2)]",order-2,OK,"DERIVED (not literature transcription): symmetric-square root of cooper_s10 (order-3, A005260 = sum C(n,k)^4), extracted by checkers/check_C3b_symsqrt.py; certificate data/certificates/C3b_symsqrt_cooper_s10.json."
cooper_s7,A183204,"∑_{j=0}^{n} C(n,j)² · C(2j,n) · C(j+n,j)",order-3,OK,OEIS A183204 (http://oeis.org/A183204); Cooper 2012 sporadic sequence s₇; Lean4 Structures/CooperS7Recurrence.lean
cooper_s7_partner,DERIVED (no OEIS ID -- see notes),[order-2 partner operator L2 with cooper_s7 = Sym^2(L2); f = sqrt of the s7 generating function],order-2,OK,"DERIVED (not literature transcription): symmetric-square root of cooper_s7 (order-3, A183204), extracted by checkers/check_C3b_symsqrt.py; certificate data/certificates/C3b_symsqrt_cooper_s7.json. Integer sequence is OEIS A279619 (1,2,22,336,6006,117348,2428272,52303680,...; fetched b-file 2026-07-24). INDEPENDENTLY CONFIRMED 2026-07-26 against the primary source: O'Brien 2016 MSc thesis Theorem 6.1 (docs/literature/obrien_2016_massey_thesis.txt, hash-pinned in refs/literature_provenance.txt) states the identical recurrence (n+1)^2 c7(n+1)=(26n^2+13n+2)c7(n)+3(3n-1)(3n-2)c7(n-1), c7(-1)=0, c7(0)=1, and prints all 10 terms exactly matching this entry's initial_terms."
domb,A002895,(see recurrence_coefficients in refs/recurrences_v1.json),order-3,OK,"OEIS A002895 (http://oeis.org/A002895); Domb numbers, K3-class (diamond lattice)"
zagier_sporadic_A,A002893,"∑_{k=0}^{n} C(n,k)² · C(2k,k)",order-2,OK_ELLIPTIC_order2_minODE_PASS43,"OEIS A002893 (http://oeis.org/A002893); a(n)=Sum_{k=0..n} C(n,k)^2 C(2k,k); Zagier sporadic SECOND-ORDER sequence C, triple (A,B,λ)=(10,9,3), per Gorodetsky arXiv:2102.11839 Table (fetched 2026-07-24); Beukers-Stienstra 'Picard-Fuchs Equation and Formal Brauer Group of Certain Elliptic K3-Surfaces' (Math. Ann. 271, 1985)."
