p,ap,weil_2p_ok,weight2_2sqrtp_ok
5,-1,True,True
7,0,True,True
11,0,True,True
13,-3,True,True
17,4,True,True
19,0,True,True
23,0,True,True
29,13,True,False
31,0,True,True
37,4,True,True
41,18,True,False
43,0,True,True
47,0,True,True
53,-16,True,False
59,0,True,True
61,-22,True,False
67,0,True,True
71,0,True,True
73,36,True,False
79,0,True,True
83,0,True,True
89,11,True,True
97,33,True,False
101,4,True,True
103,0,True,True
107,0,True,True
109,36,True,False
113,-30,True,False
127,0,True,True
131,0,True,True
137,-64,True,False
139,0,True,True
149,47,True,False
151,0,True,True
157,13,True,True
163,0,True,True
167,0,True,True
173,-16,True,True
179,0,True,True
181,-38,True,False
191,0,True,True
193,3,True,True
197,4,True,True
199,0,True,True
