p,ap,weil_2p_ok,weight2_2sqrtp_ok
5,-1,True,True
7,-3,True,True
11,5,True,True
13,4,True,True
17,-3,True,True
19,-3,True,True
23,8,True,True
29,7,True,True
31,-13,True,False
37,-7,True,True
41,-5,True,True
43,4,True,True
47,5,True,True
53,-24,True,False
59,6,True,True
61,26,True,False
67,33,True,False
71,4,True,True
73,24,True,False
79,-32,True,False
83,-14,True,True
89,21,True,False
97,-7,True,True
101,-33,True,False
103,49,True,False
107,20,True,True
109,-30,True,False
113,-5,True,True
127,-34,True,False
131,-3,True,True
137,23,True,True
139,-40,True,False
149,1,True,True
151,29,True,False
157,-52,True,False
163,-10,True,True
167,-59,True,False
173,67,True,False
179,65,True,False
181,-35,True,False
191,1,True,True
193,-23,True,True
197,-58,True,False
199,-46,True,False
