p,ap,weil_2p_ok,weight2_2sqrtp_ok
5,0,True,True
7,0,True,True
11,-3,True,True
13,0,True,True
17,2,True,True
19,-4,True,True
23,0,True,True
29,0,True,True
31,0,True,True
37,0,True,True
41,-5,True,True
43,-14,True,False
47,0,True,True
53,0,True,True
59,23,True,False
61,0,True,True
67,5,True,True
71,0,True,True
73,4,True,True
79,0,True,True
83,8,True,True
89,-32,True,False
97,3,True,True
101,0,True,True
103,0,True,True
107,-36,True,False
109,0,True,True
113,-15,True,True
127,0,True,True
131,-62,True,False
137,36,True,False
139,-67,True,False
149,0,True,True
151,0,True,True
157,0,True,True
163,-4,True,True
167,0,True,True
173,0,True,True
179,34,True,False
181,0,True,True
191,0,True,True
193,-95,True,False
197,0,True,True
199,0,True,True
