p,ap,weil_2p_ok,weight2_2sqrtp_ok
5,1,True,True
7,-1,True,True
11,-1,True,True
13,1,True,True
17,1,True,True
19,-1,True,True
23,-1,True,True
29,1,True,True
31,-1,True,True
37,1,True,True
41,1,True,True
43,-1,True,True
47,-1,True,True
53,1,True,True
59,-1,True,True
61,1,True,True
67,-1,True,True
71,-1,True,True
73,1,True,True
79,-1,True,True
83,-1,True,True
89,1,True,True
97,1,True,True
101,1,True,True
103,-1,True,True
107,-1,True,True
109,1,True,True
113,1,True,True
127,-1,True,True
131,-1,True,True
137,1,True,True
139,-1,True,True
149,1,True,True
151,-1,True,True
157,1,True,True
163,-1,True,True
167,-1,True,True
173,1,True,True
179,-1,True,True
181,1,True,True
191,-1,True,True
193,1,True,True
197,1,True,True
199,-1,True,True
