p,ap,weil_2p_ok,weight2_2sqrtp_ok
5,-2,True,True
7,0,True,True
11,4,True,True
13,-2,True,True
17,2,True,True
19,-4,True,True
23,-8,True,True
29,6,True,True
31,8,True,True
37,6,True,True
41,-6,True,True
43,4,True,True
47,0,True,True
53,-2,True,True
59,4,True,True
61,-2,True,True
67,-4,True,True
71,8,True,True
73,10,True,True
79,-8,True,True
83,-4,True,True
89,-6,True,True
97,2,True,True
101,-18,True,True
103,16,True,True
107,-12,True,True
109,-2,True,True
113,18,True,True
127,-8,True,True
131,-4,True,True
137,-6,True,True
139,-12,True,True
149,14,True,True
151,-16,True,True
157,-2,True,True
163,12,True,True
167,24,True,True
173,6,True,True
179,12,True,True
181,6,True,True
191,0,True,True
193,2,True,True
197,-18,True,True
199,16,True,True
