p,a_p,2p,weil_bound_ok,weight2_bound_ok
5,0,10,True,True
7,0,14,True,True
11,-3,22,True,True
13,0,26,True,True
17,2,34,True,True
19,-4,38,True,True
23,0,46,True,True
29,0,58,True,True
31,0,62,True,True
37,0,74,True,True
41,-5,82,True,True
43,-14,86,True,False
47,0,94,True,True
53,0,106,True,True
59,23,118,True,False
61,0,122,True,True
67,5,134,True,True
71,0,142,True,True
73,4,146,True,True
79,0,158,True,True
83,8,166,True,True
89,-32,178,True,False
97,3,194,True,True
101,0,202,True,True
103,0,206,True,True
107,-36,214,True,False
109,0,218,True,True
113,-15,226,True,True
127,0,254,True,True
131,-62,262,True,False
137,36,274,True,False
139,-67,278,True,False
149,0,298,True,True
151,0,302,True,True
157,0,314,True,True
163,-4,326,True,True
167,0,334,True,True
173,0,346,True,True
179,34,358,True,False
181,0,362,True,True
191,0,382,True,True
193,-95,386,True,False
197,0,394,True,True
199,0,398,True,True
