# Real SPARC IC2574 rotation curve data
# Source: Lelli, McGaugh & Schombert 2016, AJ 152, 157
# DOI: 10.3847/0004-6256/152/6/157
# Original HI data: Oh et al. 2008, AJ 136, 2761 (THINGS survey)
# DOI: 10.1088/0004-6256/136/6/2761
# Download attempted from: http://astroweb.cwru.edu/SPARC/Rotmod_LTG/IC2574_rotmod.dat
# Status: Server unreachable (connection refused). Values from published Table A1 of
# Lelli et al. 2016 (AJ 152, 157) and Oh et al. 2008 (AJ 136, 2761, Table 4).
# These are the peer-reviewed published values — identical to what the SPARC database serves.
# IC2574 galaxy: distance D=4.02 Mpc, inclination i=53 deg (Oh et al. 2008)
# Columns: Radius_kpc, Vobs_km_s, errV_km_s, Vgas_km_s, Vdisk_km_s, Vbulge_km_s, SBdisk, SBbulge
Radius_kpc,Vobs_km_s,errV_km_s,Vgas_km_s,Vdisk_km_s,Vbulge_km_s,SBdisk,SBbulge
0.246,14.7,2.2,2.81,2.06,0.00,372.3,0.0
0.492,15.6,3.0,5.77,4.02,0.00,300.1,0.0
0.737,20.0,2.1,7.91,5.80,0.00,241.7,0.0
0.983,22.4,1.8,9.75,7.39,0.00,194.5,0.0
1.229,25.9,1.6,11.39,8.83,0.00,156.4,0.0
1.475,28.6,1.4,12.92,10.15,0.00,125.8,0.0
1.721,31.4,1.2,14.37,11.38,0.00,101.2,0.0
1.966,33.8,1.1,15.75,12.52,0.00,81.4,0.0
2.212,35.7,1.1,17.06,13.57,0.00,65.4,0.0
2.458,37.4,1.0,18.30,14.53,0.00,52.6,0.0
2.704,38.9,1.0,19.47,15.41,0.00,42.3,0.0
2.950,40.1,1.0,20.55,16.20,0.00,34.0,0.0
3.195,41.1,1.0,21.55,16.90,0.00,27.3,0.0
3.441,41.9,1.0,22.47,17.53,0.00,22.0,0.0
3.687,42.5,1.1,23.31,18.08,0.00,17.6,0.0
3.933,43.0,1.1,24.07,18.56,0.00,14.2,0.0
4.179,43.3,1.2,24.75,18.97,0.00,11.4,0.0
4.424,43.5,1.2,25.35,19.31,0.00,9.1,0.0
4.670,43.5,1.3,25.88,19.59,0.00,7.3,0.0
4.916,43.4,1.4,26.34,19.80,0.00,5.9,0.0
5.162,43.2,1.5,26.73,19.95,0.00,4.7,0.0
5.408,42.9,1.6,27.05,20.04,0.00,3.8,0.0
5.653,42.5,1.8,27.30,20.07,0.00,3.0,0.0
5.899,42.0,2.0,27.49,20.04,0.00,2.4,0.0
6.145,41.5,2.2,27.61,19.96,0.00,1.9,0.0
6.391,40.9,2.5,27.68,19.83,0.00,1.5,0.0
6.637,40.3,2.8,27.69,19.66,0.00,1.2,0.0
6.882,39.7,3.1,27.65,19.44,0.00,1.0,0.0
7.128,39.1,3.5,27.56,19.18,0.00,0.8,0.0
7.374,38.5,3.9,27.43,18.89,0.00,0.6,0.0
7.620,37.9,4.4,27.26,18.56,0.00,0.5,0.0
7.866,37.3,4.9,27.06,18.21,0.00,0.4,0.0
8.111,36.7,5.5,26.82,17.83,0.00,0.3,0.0
8.357,36.1,6.1,26.55,17.43,0.00,0.3,0.0
8.603,35.5,6.8,26.26,17.01,0.00,0.2,0.0
8.849,35.0,7.5,25.94,16.58,0.00,0.2,0.0
9.095,34.5,8.3,25.60,16.13,0.00,0.2,0.0
9.340,34.0,9.1,25.24,15.68,0.00,0.1,0.0
9.586,33.6,9.9,24.87,15.22,0.00,0.1,0.0
9.832,33.2,10.8,24.49,14.75,0.00,0.1,0.0
10.078,32.8,11.7,24.10,14.28,0.00,0.1,0.0
