ra,dec,objid,run,rerun,camcol,field,z,plate,mjd,fiberID,specobjid,run2d
194.932181682094,27.9946833857208,1237667324334571645,5087,301,6,274,0.02225102,2240,53823,571,2522172810751666176,26
194.894150960835,27.9145537454142,1237667444048658632,5115,301,5,150,0.001969788,2240,53823,584,2522176384164456448,26
195.025435166895,27.9783006634674,1237667444048723989,5115,301,5,151,0.0254602,2240,53823,603,2522181606844688384,26
194.892163315313,27.9468363737267,1237667444048658521,5115,301,5,150,0.0239514,2241,54169,485,2523275076963428352,26
194.892163315313,27.9468363737267,1237667444048658521,5115,301,5,150,0.02395255,2241,54156,516,2523283597960439808,26
194.894150960835,27.9145537454142,1237667444048658632,5115,301,5,150,0.000780822,6483,56341,442,7299330698481260544,v5_13_2
194.86968125199,28.0405136064394,1237667324334571539,5087,301,6,274,0.01875564,2240,53823,564,2522170886606317568,26
194.909649392992,27.9871937351457,1237667444048658535,5115,301,5,150,0.02273988,2240,53823,575,2522173910263293952,26
194.879595289908,27.9549070471196,1237667444048658549,5115,301,5,150,0.0236594,2240,53823,581,2522175559530735616,26
194.986046819322,27.9300248530611,1237667444048658858,5115,301,5,150,0.02570705,2240,53823,590,2522178033431898112,26
194.881003678326,28.046599254334,1237667324334571535,5087,301,6,274,0.02309335,2241,54156,410,2523254460902303744,26
194.881003678326,28.046599254334,1237667324334571535,5087,301,6,274,0.02307543,2241,54169,414,2523255560632035328,26
194.945554299629,27.9919122015786,1237667324334571832,5087,301,6,274,0.0280615,2241,54169,506,2523280849399474176,26
194.945554299629,27.9919122015786,1237667324334571832,5087,301,6,274,0.02803823,2241,54156,509,2523281673815091200,26
195.026605804919,28.004116613337,1237667324334637086,5087,301,6,275,0.02420072,2241,54156,545,2523291569419741184,26
195.01850233818,27.9875782970746,1237667324334637085,5087,301,6,275,0.02127187,2241,54156,550,2523292943809275904,26
195.01850233818,27.9875782970746,1237667324334637085,5087,301,6,275,0.02125258,2241,54169,556,2523294593294821376,26
195.026605804919,28.004116613337,1237667324334637086,5087,301,6,275,0.02424595,2241,54169,560,2523295692806449152,26
194.886633955294,27.9835999098617,1237667444048658523,5115,301,5,150,0.01942776,2240,53823,562,2522170336850503680,26
194.89877127332,27.9592632735057,1237667444048658532,5115,301,5,150,0.02390867,2240,53823,585,2522176659042363392,26
194.959090920618,27.9126352900928,1237667444048658912,5115,301,5,150,0.02417115,2240,53823,588,2522177483676084224,26
194.917791129631,27.9682328399179,1237667444048658530,5115,301,5,150,0.02527304,2240,53823,596,2522179682699339776,26
195.022457096724,28.0244389380184,1237667324334637091,5087,301,6,275,0.01969106,2240,53823,614,2522184630501664768,26
195.01561298036,27.964705679981,1237667444048723996,5115,301,5,151,0.01777885,2240,53823,615,2522184905379571712,26
194.874841778964,27.9564278077549,1237667444048658522,5115,301,5,150,0.02266739,2241,54169,486,2523275351841335296,26
194.907950411427,27.9073190131638,1237667444048658635,5115,301,5,150,0.02671725,2241,54156,489,2523276176256952320,26
194.874841778964,27.9564278077549,1237667444048658522,5115,301,5,150,0.02264624,2241,54156,498,2523278650158114816,26
194.908273471813,28.0010090155298,1237667324334571647,5087,301,6,274,0.01649292,2241,54156,502,2523279749669742592,26
194.997788332255,27.9405714783175,1237667444048658878,5115,301,5,150,0.0203727,2241,54169,503,2523280024765753344,26
194.958769453481,27.9248355782915,1237667444048658822,5115,301,5,150,0.03272983,2241,54156,505,2523280574303463424,26
195.023672448191,27.9264637253773,1237667444048724058,5115,301,5,151,0.02653266,2241,54169,505,2523280574521567232,26
195.023672448191,27.9264637253773,1237667444048724058,5115,301,5,151,0.0263967,2241,54156,507,2523281124059277312,26
194.997788332255,27.9405714783175,1237667444048658878,5115,301,5,150,0.02050362,2241,54156,508,2523281398937184256,26
194.908273471813,28.0010090155298,1237667324334571647,5087,301,6,274,0.01658908,2241,54169,509,2523281674033195008,26
194.926265602208,27.924732907372,1237667444048658653,5115,301,5,150,0.02301214,2241,54156,510,2523281948692998144,26
194.926265602208,27.924732907372,1237667444048658653,5115,301,5,150,0.02303923,2241,54169,510,2523281948911101952,26
194.907950411427,27.9073190131638,1237667444048658635,5115,301,5,150,0.02671096,2241,54169,511,2523282223789008896,26
194.958769453481,27.9248355782915,1237667444048658822,5115,301,5,150,0.03279741,2241,54169,519,2523284422812264448,26
195.004040490954,27.9454313112633,1237667444048658882,5115,301,5,150,0.02281969,2240,53823,583,2522176109286549504,26
194.935019159584,27.9124547863754,1237667444048658654,5115,301,5,150,0.02235104,2240,53823,586,2522176933920270336,26
194.983378854076,28.034714810226,1237667324334571728,5087,301,6,274,0.02720719,2241,54156,401,2523251987001141248,26
194.983378854076,28.034714810226,1237667324334571728,5087,301,6,274,0.02718822,2241,54169,420,2523257209899476992,26
194.934177265869,27.9584134419139,1237667444048658531,5115,301,5,150,0.02303317,2241,54169,501,2523279475009939456,26
194.944907570549,27.9738447740462,1237667444048658525,5115,301,5,150,0.03143205,2241,54156,503,2523280024547649536,26
194.915234080479,27.9539049065812,1237667444048658528,5115,301,5,150,0.02678836,2241,54169,504,2523280299643660288,26
194.915234080479,27.9539049065812,1237667444048658528,5115,301,5,150,0.02678941,2241,54156,506,2523280849181370368,26
194.944907570549,27.9738447740462,1237667444048658525,5115,301,5,150,0.03141962,2241,54169,508,2523281399155288064,26
194.934177265869,27.9584134419139,1237667444048658531,5115,301,5,150,0.02305106,2241,54156,513,2523282773326718976,26
195.031143035643,27.9580695180286,1237667444048724004,5115,301,5,151,0.02071731,2241,54169,545,2523291569637844992,26
195.031143035643,27.9580695180286,1237667444048724004,5115,301,5,151,0.02083714,2241,54156,547,2523292119175555072,26
